lon,lat
-114.9224994,32.5115417
-115.1014606,32.2862386
-114.8346854,31.0214498
-115.2534672,32.248724
-117.0098321,32.5141164
-116.965387,32.4988998
-117.0448453,32.5308195
-116.9401932,32.4848773
-117.075746,32.532222
-116.877976,32.4668816
-116.9,32.503
-116.973,32.5302
-117.0558945,32.3413607
-116.9268015,32.4767017
-116.6309957,32.5440961
-116.8313487,32.4662686
-115.4818956,32.5905343
-116.631403,32.5454299
-117.0464294,32.339348
-117.013056,32.489167
-116.59368,31.78819
-116.607728,31.850272
-115.194,28.0953
-115.938236,30.55739
-115.47638,32.6438
-115.1973578,32.3561626
-114.8326314,31.0327379
-114.7317114,32.7137515
-116.6055123,32.5694153
-116.984823,32.508255
-116.245,31.3276
-115.723,31.397
-115.723721,30.060494
-117.052,32.3428
-116.9334228,32.5459938
-115.480139,32.646139
-115.50433,32.63978
-116.59851,31.80703
-116.001249,30.499869
-116.6317267,31.8731934
-115.47748,32.66377
-115.4766819,32.6653602
-115.395391,32.592819
-115.390523,32.667891
-117.032791,32.534454
-116.877093,32.473605
-116.889846,32.500097
-117.025754,32.52888
-117.042581,32.484612
-117.064432,32.525502
-116.911291,32.454621
-116.909471,32.511451
-116.874121,32.468029
-116.875462,32.485291
-116.9854193,32.505035
-117.047648,32.534589
-116.990297,32.509704
-117.039174,32.533954
-117.007392,32.518553
-116.889508,32.505824
-116.985891,32.519817
-117.119156,32.531923
-116.993624,32.531101
-116.6164076,31.8630506
-116.613977,31.851608
-116.611835,31.861061
-116.622578,31.870831
-116.623749,31.854549
-116.594444,31.811387
-117.020777,32.51963
-116.972429,32.488067
-117.062322,32.498438
-116.880358,32.4863127
-117.043226,32.532951
-116.940739,32.484576
-116.940484,32.53352
-116.887452,32.514879
-116.940429,32.487144
-117.028055,32.538441
-117.014652,32.52162
-117.032962,32.499731
-117.017944,32.514818
-116.915414,32.507527
-117.015965,32.522572
-117.045101,32.533115
-117.022649,32.526457
-117.065452,32.51267
-117.057138,32.512487
-116.938718,32.482522
-117.0577618,32.5143792
-116.957325,32.49434
-117.046592,32.5345
-116.927952,32.489884
-117.008934,32.520942
-116.950425,32.479421
-117.0693744,32.4836442
-117.063444,32.483888
-116.966669,32.502724
