event_id_cnty,event_date,event_type,adm2_code,latitude,longitude
MEX88158,2024-05-15,Explosions/Remote violence,MX12048,17.5382,-101.2746
MEX88256,2024-05-26,Violence against civilians,MX12048,17.5382,-101.2746
MEX89129,2024-06-23,Violence against civilians,MX12048,17.5382,-101.2746
MEX93190,2024-09-18,Battles,MX30135,18.8105,-97.0719
MEX95003,2024-10-30,Battles,MX25014,22.9262,-105.6121
MEX95217,2024-11-05,Violence against civilians,MX25014,23.0118,-105.6672
MEX96307,2024-10-22,Violence against civilians,MX12055,18.5574,-99.6046
MEX87439,2024-05-12,Violence against civilians,MX24028,22.1517,-100.977
MEX87788,2024-05-15,Violence against civilians,MX24028,22.1517,-100.977
MEX87791,2024-05-22,Violence against civilians,MX24028,22.1517,-100.977
MEX88036,2024-06-15,Battles,MX16064,19.0138,-102.265
MEX88047,2024-06-21,Violence against civilians,MX17007,18.9716,-99.2367
MEX88097,2024-06-21,Battles,MX24028,22.1517,-100.977
MEX88162,2024-05-23,Violence against civilians,MX24028,22.1517,-100.977
MEX88294,2024-05-27,Violence against civilians,MX16006,19.0294,-102.3008
MEX88305,2024-05-27,Violence against civilians,MX24028,22.1517,-100.977
MEX88350,2024-05-28,Violence against civilians,MX24028,22.1517,-100.977
MEX88579,2024-05-28,Violence against civilians,MX14035,21.5244,-102.2331
MEX88917,2024-06-10,Battles,MX14035,21.5244,-102.2331
MEX88918,2024-06-10,Battles,MX14035,21.5244,-102.2331
MEX89071,2024-06-14,Violence against civilians,MX14035,21.5244,-102.2331
MEX89100,2024-06-26,Battles,MX24028,22.1517,-100.977
MEX89169,2024-06-26,Violence against civilians,MX14035,21.5244,-102.2331
MEX89205,2024-06-23,Violence against civilians,MX24028,22.1517,-100.977
MEX89239,2024-06-26,Violence against civilians,MX24028,22.1517,-100.977
MEX90004,2024-07-12,Violence against civilians,MX14035,21.5244,-102.2331
MEX90089,2024-07-09,Violence against civilians,MX07087,14.6795,-92.1509
MEX90248,2024-07-16,Violence against civilians,MX24028,22.1517,-100.977
MEX90467,2024-07-20,Violence against civilians,MX07006,15.4347,-92.1156
MEX90468,2024-07-24,Battles,MX07006,15.4347,-92.1156
MEX90516,2024-07-22,Violence against civilians,MX17007,18.9716,-99.2367
MEX90917,2024-08-01,Violence against civilians,MX17007,18.9716,-99.2367
